PATCO,AGELVLT,WORKSCHT,SALLVLT,CNT,AGELVLTMagnitude,WORKSCHTMagnitude,SALLVLTMagnitude
3,25-29,F-Full-time Nonseasonal,"$30,000 - $39,999",3229,24507,154131,40789
3,20-24,F-Full-time Nonseasonal,"$20,000 - $29,999",2814,15279,154131,26970
3,30-34,F-Full-time Nonseasonal,"$30,000 - $39,999",2362,26878,154131,40789
3,25-29,F-Full-time Nonseasonal,"$20,000 - $29,999",2189,24507,154131,26970
3,35-39,F-Full-time Nonseasonal,"$30,000 - $39,999",1411,21648,154131,40789
3,30-34,F-Full-time Nonseasonal,"$40,000 - $49,999",1407,26878,154131,29706
3,20-24,F-Full-time Nonseasonal,"$30,000 - $39,999",1405,15279,154131,40789
3,60-64,F-Full-time Nonseasonal,"$40,000 - $49,999",1277,28247,154131,29706
5,20-24,F-Full-time Nonseasonal,"$20,000 - $29,999",1276,15279,154131,26970
3,60-64,F-Full-time Nonseasonal,"$50,000 - $59,999",1234,28247,154131,25502
2,55-59,F-Full-time Nonseasonal,"$90,000 - $99,999",1219,30359,154131,14905
2,60-64,F-Full-time Nonseasonal,"$90,000 - $99,999",1204,28247,154131,14905
2,60-64,F-Full-time Nonseasonal,"$70,000 - $79,999",1117,28247,154131,19003
2,55-59,F-Full-time Nonseasonal,"$70,000 - $79,999",1087,30359,154131,19003
3,35-39,F-Full-time Nonseasonal,"$40,000 - $49,999",1068,21648,154131,29706
3,40-44,F-Full-time Nonseasonal,"$30,000 - $39,999",1039,19462,154131,40789
3,25-29,F-Full-time Nonseasonal,"$40,000 - $49,999",1018,24507,154131,29706
2,60-64,F-Full-time Nonseasonal,"$80,000 - $89,999",1011,28247,154131,14182
5,20-24,F-Full-time Nonseasonal,"$30,000 - $39,999",1008,15279,154131,40789
2,55-59,F-Full-time Nonseasonal,"$80,000 - $89,999",1002,30359,154131,14182
3,45-49,F-Full-time Nonseasonal,"$40,000 - $49,999",989,21059,154131,29706
2,55-59,F-Full-time Nonseasonal,"$100,000 - $109,999",970,30359,154131,10369
3,65 or more,F-Full-time Nonseasonal,"$50,000 - $59,999",945,21557,154131,25502
3,40-44,F-Full-time Nonseasonal,"$40,000 - $49,999",936,19462,154131,29706
2,55-59,F-Full-time Nonseasonal,"$110,000 - $119,999",914,30359,154131,8683
3,55-59,F-Full-time Nonseasonal,"$40,000 - $49,999",912,30359,154131,29706
3,45-49,F-Full-time Nonseasonal,"$30,000 - $39,999",898,21059,154131,40789
3,65 or more,F-Full-time Nonseasonal,"$40,000 - $49,999",889,21557,154131,29706
3,50-54,F-Full-time Nonseasonal,"$40,000 - $49,999",880,24493,154131,29706
3,55-59,F-Full-time Nonseasonal,"$50,000 - $59,999",878,30359,154131,25502
3,30-34,F-Full-time Nonseasonal,"$20,000 - $29,999",863,26878,154131,26970
3,50-54,F-Full-time Nonseasonal,"$30,000 - $39,999",851,24493,154131,40789
2,60-64,F-Full-time Nonseasonal,"$100,000 - $109,999",819,28247,154131,10369
4,30-34,F-Full-time Nonseasonal,"$30,000 - $39,999",791,26878,154131,40789
2,65 or more,F-Full-time Nonseasonal,"$90,000 - $99,999",781,21557,154131,14905
2,30-34,F-Full-time Nonseasonal,"$60,000 - $69,999",767,26878,154131,19480
2,55-59,F-Full-time Nonseasonal,"$60,000 - $69,999",762,30359,154131,19480
6,60-64,F-Full-time Nonseasonal,"$50,000 - $59,999",742,28247,154131,25502
2,60-64,F-Full-time Nonseasonal,"$110,000 - $119,999",731,28247,154131,8683
2,50-54,F-Full-time Nonseasonal,"$70,000 - $79,999",718,24493,154131,19003
2,30-34,F-Full-time Nonseasonal,"$70,000 - $79,999",718,26878,154131,19003
4,25-29,F-Full-time Nonseasonal,"$30,000 - $39,999",710,24507,154131,40789
3,55-59,F-Full-time Nonseasonal,"$30,000 - $39,999",696,30359,154131,40789
1,60-64,F-Full-time Nonseasonal,"$90,000 - $99,999",685,28247,154131,14905
6,25-29,F-Full-time Nonseasonal,"$40,000 - $49,999",670,24507,154131,29706
4,65 or more,I-Intermittent Nonseasonal,"$20,000 - $29,999",667,21557,13683,26970
