PATCO,AGELVLT,WORKSCHT,SALLVLT,CNT,AGELVLTMagnitude,WORKSCHTMagnitude,SALLVLTMagnitude
3,25-29,Full-time Nonseasonal,"$30,000 - $39,999",3480,24507,200793,40789
3,20-24,Full-time Nonseasonal,"$20,000 - $29,999",2842,15279,200793,26970
3,30-34,Full-time Nonseasonal,"$30,000 - $39,999",2634,26878,200793,40789
3,25-29,Full-time Nonseasonal,"$20,000 - $29,999",2232,24507,200793,26970
3,30-34,Full-time Nonseasonal,"$40,000 - $49,999",1759,26878,200793,29706
3,35-39,Full-time Nonseasonal,"$30,000 - $39,999",1622,21648,200793,40789
2,55-59,Full-time Nonseasonal,"$90,000 - $99,999",1614,30359,200793,14905
3,60-64,Full-time Nonseasonal,"$40,000 - $49,999",1535,28247,200793,29706
2,55-59,Full-time Nonseasonal,"$70,000 - $79,999",1494,30359,200793,19003
3,60-64,Full-time Nonseasonal,"$50,000 - $59,999",1473,28247,200793,25502
3,20-24,Full-time Nonseasonal,"$30,000 - $39,999",1471,15279,200793,40789
2,60-64,Full-time Nonseasonal,"$90,000 - $99,999",1428,28247,200793,14905
3,45-49,Full-time Nonseasonal,"$40,000 - $49,999",1421,21059,200793,29706
3,35-39,Full-time Nonseasonal,"$40,000 - $49,999",1420,21648,200793,29706
3,50-54,Full-time Nonseasonal,"$40,000 - $49,999",1376,24493,200793,29706
2,55-59,Full-time Nonseasonal,"$80,000 - $89,999",1350,30359,200793,14182
3,55-59,Full-time Nonseasonal,"$40,000 - $49,999",1328,30359,200793,29706
2,60-64,Full-time Nonseasonal,"$70,000 - $79,999",1324,28247,200793,19003
2,55-59,Full-time Nonseasonal,"$100,000 - $109,999",1301,30359,200793,10369
5,20-24,Full-time Nonseasonal,"$20,000 - $29,999",1301,15279,200793,26970
3,40-44,Full-time Nonseasonal,"$40,000 - $49,999",1297,19462,200793,29706
3,55-59,Full-time Nonseasonal,"$50,000 - $59,999",1252,30359,200793,25502
3,40-44,Full-time Nonseasonal,"$30,000 - $39,999",1246,19462,200793,40789
2,50-54,Full-time Nonseasonal,"$70,000 - $79,999",1238,24493,200793,19003
3,25-29,Full-time Nonseasonal,"$40,000 - $49,999",1207,24507,200793,29706
2,60-64,Full-time Nonseasonal,"$80,000 - $89,999",1202,28247,200793,14182
2,55-59,Full-time Nonseasonal,"$110,000 - $119,999",1153,30359,200793,8683
2,30-34,Full-time Nonseasonal,"$70,000 - $79,999",1082,26878,200793,19003
3,45-49,Full-time Nonseasonal,"$30,000 - $39,999",1080,21059,200793,40789
2,50-54,Full-time Nonseasonal,"$90,000 - $99,999",1073,24493,200793,14905
3,65 or more,Full-time Nonseasonal,"$50,000 - $59,999",1068,21557,200793,25502
2,45-49,Full-time Nonseasonal,"$70,000 - $79,999",1058,21059,200793,19003
5,20-24,Full-time Nonseasonal,"$30,000 - $39,999",1047,15279,200793,40789
3,50-54,Full-time Nonseasonal,"$30,000 - $39,999",1039,24493,200793,40789
2,55-59,Full-time Nonseasonal,"$60,000 - $69,999",1036,30359,200793,19480
2,30-34,Full-time Nonseasonal,"$60,000 - $69,999",1031,26878,200793,19480
2,50-54,Full-time Nonseasonal,"$80,000 - $89,999",1026,24493,200793,14182
3,65 or more,Full-time Nonseasonal,"$40,000 - $49,999",986,21557,200793,29706
2,60-64,Full-time Nonseasonal,"$100,000 - $109,999",984,28247,200793,10369
2,50-54,Full-time Nonseasonal,"$60,000 - $69,999",947,24493,200793,19480
4,30-34,Full-time Nonseasonal,"$30,000 - $39,999",926,26878,200793,40789
2,45-49,Full-time Nonseasonal,"$60,000 - $69,999",913,21059,200793,19480
2,50-54,Full-time Nonseasonal,"$100,000 - $109,999",890,24493,200793,10369
2,30-34,Full-time Nonseasonal,"$50,000 - $59,999",885,26878,200793,25502
2,35-39,Full-time Nonseasonal,"$70,000 - $79,999",884,21648,200793,19003
2,65 or more,Full-time Nonseasonal,"$90,000 - $99,999",883,21557,200793,14905
2,60-64,Full-time Nonseasonal,"$110,000 - $119,999",883,28247,200793,8683
3,30-34,Full-time Nonseasonal,"$20,000 - $29,999",878,26878,200793,26970
1,30-34,Full-time Nonseasonal,"$70,000 - $79,999",877,26878,200793,19003
3,50-54,Full-time Nonseasonal,"$50,000 - $59,999",873,24493,200793,25502
6,60-64,Full-time Nonseasonal,"$50,000 - $59,999",863,28247,200793,25502
2,35-39,Full-time Nonseasonal,"$60,000 - $69,999",857,21648,200793,19480
2,45-49,Full-time Nonseasonal,"$90,000 - $99,999",851,21059,200793,14905
3,55-59,Full-time Nonseasonal,"$30,000 - $39,999",834,30359,200793,40789
2,45-49,Full-time Nonseasonal,"$80,000 - $89,999",827,21059,200793,14182
2,40-44,Full-time Nonseasonal,"$70,000 - $79,999",823,19462,200793,19003
1,60-64,Full-time Nonseasonal,"$90,000 - $99,999",819,28247,200793,14905
1,55-59,Full-time Nonseasonal,"$90,000 - $99,999",814,30359,200793,14905
4,25-29,Full-time Nonseasonal,"$30,000 - $39,999",803,24507,200793,40789
2,35-39,Full-time Nonseasonal,"$90,000 - $99,999",797,21648,200793,14905
2,60-64,Full-time Nonseasonal,"$60,000 - $69,999",797,28247,200793,19480
6,55-59,Full-time Nonseasonal,"$50,000 - $59,999",795,30359,200793,25502
1,30-34,Full-time Nonseasonal,"$60,000 - $69,999",785,26878,200793,19480
6,25-29,Full-time Nonseasonal,"$40,000 - $49,999",767,24507,200793,29706
1,55-59,Full-time Nonseasonal,"$100,000 - $109,999",766,30359,200793,10369
2,30-34,Full-time Nonseasonal,"$90,000 - $99,999",765,26878,200793,14905
2,40-44,Full-time Nonseasonal,"$60,000 - $69,999",760,19462,200793,19480
2,50-54,Full-time Nonseasonal,"$110,000 - $119,999",751,24493,200793,8683
6,30-34,Full-time Nonseasonal,"$40,000 - $49,999",736,26878,200793,29706
4,35-39,Full-time Nonseasonal,"$30,000 - $39,999",725,21648,200793,40789
1,60-64,Full-time Nonseasonal,"$100,000 - $109,999",723,28247,200793,10369
